,id,movieid,filmtype
546,547,1292328,剧情
547,548,1292328,动作
548,549,1292328,爱情
549,550,1292328,武侠
550,551,1292328,古装
551,552,1310177,剧情
552,553,1310177,喜剧
553,554,1310177,动画
554,555,1307811,动画
555,556,1307811,奇幻
556,557,1307811,冒险
557,558,1867345,剧情
558,559,1867345,喜剧
559,560,1867345,冒险
560,561,27059130,剧情
561,562,27059130,喜剧
562,563,4848115,剧情
563,564,4848115,动画
564,565,4848115,儿童
565,566,1308857,剧情
566,567,1308857,犯罪
567,568,1978709,剧情
568,569,1978709,惊悚
569,570,1292401,剧情
570,571,1292401,喜剧
571,572,1292401,爱情
572,573,1293908,剧情
573,574,1293908,喜剧
574,575,1293908,爱情
575,576,3075287,科幻
576,577,3075287,悬疑
577,578,3075287,惊悚
578,579,25980443,剧情
579,580,25980443,家庭
580,581,1291870,剧情
581,582,5300054,剧情
582,583,5300054,同性
583,584,5300054,音乐
584,585,5300054,传记
585,586,4739952,剧情
586,587,4739952,喜剧
587,588,4739952,爱情
588,589,1291992,剧情
589,590,1291992,惊悚
590,591,1291992,犯罪
591,592,1303394,剧情
592,593,1303394,爱情
593,594,1303394,奇幻
594,595,1303394,古装
595,596,1309163,剧情
596,597,1309163,爱情
597,598,1302827,剧情
598,599,1302827,科幻
599,600,1296909,喜剧
600,601,1296909,战争
601,602,1291844,动作
602,603,1291844,科幻
603,604,3592854,动作
604,605,3592854,科幻
605,606,3592854,冒险
606,607,1291879,剧情
607,608,1291879,悬疑
608,609,1291879,犯罪
609,610,1292287,动作
610,611,1292287,爱情
611,612,1292287,武侠
612,613,1292287,古装
613,614,1438652,剧情
614,615,1438652,犯罪
615,616,1297880,剧情
616,617,1297880,爱情
617,618,1300117,剧情
618,619,1300117,科幻
619,620,1300117,惊悚
620,621,1959877,动画
621,622,1959877,奇幻
622,623,1959877,冒险
623,624,25934014,剧情
624,625,25934014,爱情
625,626,25934014,歌舞
626,627,1293318,剧情
627,628,1293318,动画
628,629,1293318,战争
629,630,34874432,剧情
630,631,34874432,爱情
631,632,25807345,科幻
632,633,25807345,悬疑
633,634,25807345,惊悚
